Index,University name,Overall score,Entry standards,Student satisfaction,Research quality,Research intensity,Graduate prospects
1,Bath Spa University,84%,37%,80%,67%,29%,0%
2,University of Chichester,80%,42%,75%,0%,0%,0%
3,Canterbury Christ Church University,76%,40%,70%,0%,0%,49%
4,Buckinghamshire New University,78%,39%,82%,0%,0%,52%
5,Middlesex University,82%,48%,80%,57%,75%,54%
6,"City, University of London",83%,51%,77%,69%,63%,59%
7,"Goldsmiths, University of London",85%,54%,77%,70%,100%,61%
8,University of Bedfordshire,81%,42%,77%,58%,57%,61%
9,University of Bolton,81%,48%,85%,0%,0%,63%
10,University of the West of Scotland,83%,51%,80%,54%,23%,63%
11,University of Brighton,82%,46%,75%,63%,30%,63%
12,London Metropolitan University,79%,33%,78%,41%,11%,64%
13,University of Suffolk,78%,43%,69%,0%,0%,64%
14,"Glyndwr University, Wrexham",82%,39%,82%,51%,38%,65%
15,University of Greenwich,83%,52%,78%,55%,38%,66%
16,University of Northampton,80%,44%,77%,0%,0%,66%
17,"Northumbria University, Newcastle",84%,61%,76%,59%,22%,66%
18,University of Gloucestershire,81%,46%,78%,0%,0%,68%
19,Glasgow Caledonian University,84%,59%,75%,58%,24%,68%
20,Birmingham City University,84%,55%,80%,51%,30%,69%
21,Leeds Beckett University,82%,47%,80%,38%,17%,69%
22,Anglia Ruskin University,80%,42%,78%,0%,0%,69%
23,Kingston University,84%,44%,86%,65%,22%,70%
24,University of South Wales,84%,52%,81%,55%,31%,70%
25,University of Chester,84%,47%,88%,33%,80%,71%
26,University of Central Lancashire,81%,51%,76%,0%,0%,71%
27,University of Bradford,84%,53%,75%,67%,28%,71%
28,University of East London,84%,44%,86%,53%,15%,73%
29,Edge Hill University,84%,58%,83%,32%,38%,73%
30,University of Worcester,82%,44%,83%,0%,0%,73%
31,Ulster University,85%,53%,76%,67%,60%,73%
32,"University of Westminster, London",83%,48%,76%,51%,33%,73%
33,Solent University (Southampton),82%,53%,76%,0%,0%,73%
34,University of Sunderland,82%,47%,75%,43%,38%,73%
35,Keele University,86%,52%,81%,60%,63%,74%
36,University of the Highlands and Isl...,82%,0%,80%,0%,0%,74%
37,Manchester Metropolitan University,85%,54%,80%,61%,25%,74%
38,Liverpool John Moores University,86%,65%,76%,60%,20%,74%
39,University of Salford,86%,55%,79%,58%,100%,75%
40,Bournemouth University,85%,51%,79%,58%,69%,75%
41,York St John University,81%,42%,77%,0%,0%,75%
42,Sheffield Hallam University,86%,50%,82%,68%,38%,76%
43,Edinburgh Napier University,86%,57%,78%,63%,25%,77%
44,University of Aberdeen,91%,77%,78%,74%,95%,77%
45,"Teesside University, Middlesbrough",86%,51%,82%,62%,20%,78%
46,Abertay University,87%,64%,80%,52%,36%,78%
47,Robert Gordon University,86%,57%,79%,51%,46%,78%
48,University of Wales Trinity Saint D...,87%,53%,84%,44%,100%,79%
49,University of Hertfordshire,84%,44%,76%,61%,38%,79%
50,"Aston University, Birmingham",87%,54%,79%,69%,70%,80%
51,University of Wolverhampton,81%,38%,75%,0%,0%,80%
52,University of Dundee,90%,67%,82%,78%,62%,81%
53,Bangor University,86%,48%,80%,58%,91%,81%
54,University of Reading,86%,53%,73%,69%,54%,81%
55,Cardiff Metropolitan University,84%,50%,80%,0%,0%,82%
56,University of Lincoln,86%,53%,78%,54%,66%,82%
57,Heriot-Watt University,90%,69%,77%,74%,96%,82%
58,Queen Mary University of London,90%,70%,73%,82%,66%,82%
59,University of West London,86%,51%,89%,38%,45%,83%
60,"Bristol, University of the West of ...",87%,54%,83%,69%,19%,83%
61,University of Strathclyde,91%,78%,81%,64%,88%,83%
62,Brunel University London,89%,57%,80%,69%,76%,83%
63,Nottingham Trent University,86%,56%,76%,54%,34%,83%
64,Coventry University,87%,55%,79%,61%,20%,84%
65,University of Derby,85%,47%,79%,48%,48%,84%
66,University of Plymouth,87%,52%,76%,74%,59%,84%
67,University of Hull,88%,56%,76%,68%,67%,84%
68,University of Huddersfield,87%,56%,80%,59%,39%,86%
69,De Montfort University,87%,46%,79%,66%,54%,86%
70,University of Essex,88%,48%,77%,72%,89%,86%
71,University of Manchester,95%,88%,81%,86%,80%,87%
72,Newcastle University,91%,62%,81%,83%,83%,87%
73,University of Portsmouth,87%,47%,81%,70%,22%,87%
74,University of Liverpool,90%,61%,79%,83%,73%,87%
75,Oxford Brookes University,86%,49%,73%,64%,39%,87%
76,Staffordshire University,87%,52%,85%,44%,16%,88%
77,University of Leicester,90%,58%,80%,69%,95%,88%
78,University of East Anglia UEA,89%,55%,79%,77%,79%,88%
79,Queen's University Belfast,90%,63%,75%,71%,92%,88%
80,University of Stirling,87%,57%,71%,65%,63%,88%
81,University of Nottingham,93%,72%,81%,81%,84%,89%
82,University of Edinburgh,93%,81%,76%,80%,99%,89%
83,University College London,92%,71%,74%,89%,86%,89%
84,University of Bristol,92%,79%,73%,79%,99%,89%
85,University of Sheffield,92%,64%,81%,85%,82%,90%
86,University of Surrey,90%,63%,79%,67%,92%,90%
87,"King's College London, University o...",93%,76%,77%,80%,94%,90%
88,London South Bank University,84%,43%,75%,46%,29%,90%
89,University of St Andrews,96%,92%,87%,75%,83%,91%
90,Cardiff University,91%,65%,80%,76%,57%,91%
91,University of Glasgow,94%,83%,77%,80%,97%,91%
92,University of Sussex,90%,60%,76%,73%,58%,91%
110,University of Oxford,100%,100%,0%,84%,84%,91%
93,Imperial College London,96%,86%,81%,88%,93%,92%
94,University of York,92%,65%,79%,84%,79%,92%
95,University of Kent,90%,59%,74%,74%,97%,92%
96,Loughborough University,92%,62%,86%,63%,91%,93%
97,Swansea University,92%,57%,83%,79%,89%,93%
98,"Royal Holloway, University of Londo...",91%,57%,81%,77%,74%,93%
99,University of Birmingham,93%,71%,79%,78%,97%,93%
100,University of Southampton,93%,75%,79%,80%,87%,93%
101,Aberystwyth University,92%,54%,87%,73%,99%,95%
102,Durham University,95%,86%,77%,76%,95%,95%
103,Lancaster University,92%,64%,77%,82%,83%,95%
104,University of Warwick,93%,77%,71%,88%,79%,95%
109,University of Cambridge,100%,95%,0%,84%,93%,96%
105,University of Bath,94%,73%,84%,73%,96%,97%
106,University of Exeter,93%,63%,82%,74%,100%,97%
107,Liverpool Hope University,90%,51%,84%,53%,88%,98%
108,University of Leeds,93%,71%,77%,79%,83%,100%
